Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,116,105,905,73,4,34,36,310,49,422,20,172,6,52,1,09,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
ArnsbergHellweg-Sauerland,43,40,930,74,2,47,8,186,28,651,3,70,2,47,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Aschaffenburg,43,39,907,70,3,70,5,116,20,465,13,302,1,23,1,23,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Berlin,234,181,774,64,6,26,27,115,90,385,76,325,23,98,12,51,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Bodensee-Oberschwaben,48,45,938,73,2,42,13,271,18,375,14,292,0,00,1,21,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Bonn/Rhein-Sieg,132,122,924,73,2,15,33,250,56,424,41,311,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Braunschweig,78,68,872,71,0,00,14,179,43,551,19,244,2,26,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Bremen,117,107,915,70,4,34,21,179,50,427,34,291,7,60,1,09,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Chemnitz,54,49,907,74,2,37,14,259,22,407,16,296,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Coburg,17,16,941,79,0,00,8,471,7,412,2,118,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Cottbus,15,15,1000,73,0,00,3,200,9,600,3,200,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Darmstadt,69,60,870,67,1,14,8,116,34,493,19,275,4,58,3,43,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Dortmund,158,130,823,64,0,00,17,108,57,361,66,418,15,95,3,19,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Dresden,83,75,904,66,1,12,10,120,35,422,31,373,5,60,1,12,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Düsseldorf,157,127,809,65,0,00,13,83,68,433,58,369,14,89,4,25,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Erfurt,62,52,839,68,1,16,8,129,26,419,22,355,5,81,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
"Essen,MülheimanderRuhr,OberhausenEssen",96,82,854,68,1,10,14,146,43,448,30,313,7,73,1,10,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Flensburg,48,45,938,74,1,21,12,250,27,563,7,146,1,21,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
FrankfurtamMain,109,93,853,67,0,00,18,165,46,422,36,330,8,73,1,09,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Fulda,26,25,962,74,1,38,9,346,12,462,3,115,0,00,1,38,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Gießen-Friedberg,73,59,808,68,1,14,11,151,31,425,27,370,1,14,2,27,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Halle-Dessau,47,42,894,72,6,128,11,234,14,298,12,255,3,64,1,21,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Hamburg,238,211,887,66,2,08,31,130,87,366,98,412,14,59,6,25,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
Hanau-Gelnhausen-Schlüchtern,19,12,632,60,0,00,1,53,6,316,9,474,3,158,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der Syste', 'Konzeption und Administration von IT-Systemen', 'Analyse und Entwicklung von Netzwerken', 'Wirtschafts- und Sozialkunde']"
