Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Arnsberg Hellweg - Sauerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Aschaffenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Bodensee-Oberschwaben,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Bonn / Rhein-Sieg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Braunschweig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
Chemnitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Projektes der digit', 'Diagnose und Störungsbeseitigung in vernetzte', 'Betrieb und Erweiterung von vernetzten System', 'Wirtschafts- und Sozialkunde']"
